,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked
686,687,0,3,0,4,1,39.6875,2
687,688,0,3,0,0,0,10.1708,2
688,689,0,3,0,0,0,7.7958,2
689,690,1,1,1,0,1,211.3375,2
690,691,1,1,0,1,0,57.0,2
691,692,1,3,1,0,1,13.4167,0
692,693,1,3,0,0,0,56.4958,2
693,694,0,3,0,0,0,7.225,0
694,695,0,1,0,0,0,26.55,2
695,696,0,2,0,0,0,13.5,2
696,697,0,3,0,0,0,8.05,2
697,698,1,3,1,0,0,7.7333,1
698,699,0,1,0,1,1,110.8833,0
699,700,0,3,0,0,0,7.65,2
700,701,1,1,1,1,0,227.525,0
701,702,1,1,0,0,0,26.2875,2
702,703,0,3,1,0,1,14.4542,0
703,704,0,3,0,0,0,7.7417,1
704,705,0,3,0,1,0,7.8542,2
705,706,0,2,0,0,0,26.0,2
706,707,1,2,1,0,0,13.5,2
707,708,1,1,0,0,0,26.2875,2
708,709,1,1,1,0,0,151.55,2
709,710,1,3,0,1,1,15.2458,0
710,711,1,1,1,0,0,49.5042,0
711,712,0,1,0,0,0,26.55,2
712,713,1,1,0,1,0,52.0,2
713,714,0,3,0,0,0,9.4833,2
714,715,0,2,0,0,0,13.0,2
715,716,0,3,0,0,0,7.65,2
716,717,1,1,1,0,0,227.525,0
717,718,1,2,1,0,0,10.5,2
718,719,0,3,0,0,0,15.5,1
719,720,0,3,0,0,0,7.775,2
720,721,1,2,1,0,1,33.0,2
721,722,0,3,0,1,0,7.0542,2
722,723,0,2,0,0,0,13.0,2
723,724,0,2,0,0,0,13.0,2
724,725,1,1,0,1,0,53.1,2
725,726,0,3,0,0,0,8.6625,2
726,727,1,2,1,3,0,21.0,2
727,728,1,3,1,0,0,7.7375,1
728,729,0,2,0,1,0,26.0,2
729,730,0,3,1,1,0,7.925,2
730,731,1,1,1,0,0,211.3375,2
731,732,0,3,0,0,0,18.7875,0
732,733,0,2,0,0,0,0.0,2
733,734,0,2,0,0,0,13.0,2
734,735,0,2,0,0,0,13.0,2
735,736,0,3,0,0,0,16.1,2
736,737,0,3,1,1,3,34.375,2
737,738,1,1,0,0,0,512.3292,0
738,739,0,3,0,0,0,7.8958,2
739,740,0,3,0,0,0,7.8958,2
740,741,1,1,0,0,0,30.0,2
741,742,0,1,0,1,0,78.85,2
742,743,1,1,1,2,2,262.375,0
743,744,0,3,0,1,0,16.1,2
744,745,1,3,0,0,0,7.925,2
745,746,0,1,0,1,1,71.0,2
746,747,0,3,0,1,1,20.25,2
747,748,1,2,1,0,0,13.0,2
748,749,0,1,0,1,0,53.1,2
749,750,0,3,0,0,0,7.75,1
750,751,1,2,1,1,1,23.0,2
751,752,1,3,0,0,1,12.475,2
752,753,0,3,0,0,0,9.5,2
753,754,0,3,0,0,0,7.8958,2
754,755,1,2,1,1,2,65.0,2
755,756,1,2,0,1,1,14.5,2
756,757,0,3,0,0,0,7.7958,2
757,758,0,2,0,0,0,11.5,2
758,759,0,3,0,0,0,8.05,2
759,760,1,1,1,0,0,86.5,2
760,761,0,3,0,0,0,14.5,2
761,762,0,3,0,0,0,7.125,2
762,763,1,3,0,0,0,7.2292,0
763,764,1,1,1,1,2,120.0,2
764,765,0,3,0,0,0,7.775,2
765,766,1,1,1,1,0,77.9583,2
766,767,0,1,0,0,0,39.6,0
767,768,0,3,1,0,0,7.75,1
768,769,0,3,0,1,0,24.15,1
769,770,0,3,0,0,0,8.3625,2
770,771,0,3,0,0,0,9.5,2
771,772,0,3,0,0,0,7.8542,2
772,773,0,2,1,0,0,10.5,2
773,774,0,3,0,0,0,7.225,0
774,775,1,2,1,1,3,23.0,2
775,776,0,3,0,0,0,7.75,2
776,777,0,3,0,0,0,7.75,1
777,778,1,3,1,0,0,12.475,2
778,779,0,3,0,0,0,7.7375,1
779,780,1,1,1,0,1,211.3375,2
780,781,1,3,1,0,0,7.2292,0
781,782,1,1,1,1,0,57.0,2
782,783,0,1,0,0,0,30.0,2
783,784,0,3,0,1,2,23.45,2
784,785,0,3,0,0,0,7.05,2
785,786,0,3,0,0,0,7.25,2
786,787,1,3,1,0,0,7.4958,2
787,788,0,3,0,4,1,29.125,1
788,789,1,3,0,1,2,20.575,2
789,790,0,1,0,0,0,79.2,0
790,791,0,3,0,0,0,7.75,1
791,792,0,2,0,0,0,26.0,2
792,793,0,3,1,8,2,69.55,2
793,794,0,1,0,0,0,30.6958,0
794,795,0,3,0,0,0,7.8958,2
795,796,0,2,0,0,0,13.0,2
796,797,1,1,1,0,0,25.9292,2
797,798,1,3,1,0,0,8.6833,2
798,799,0,3,0,0,0,7.2292,0
799,800,0,3,1,1,1,24.15,2
800,801,0,2,0,0,0,13.0,2
801,802,1,2,1,1,1,26.25,2
802,803,1,1,0,1,2,120.0,2
803,804,1,3,0,0,1,8.5167,0
804,805,1,3,0,0,0,6.975,2
805,806,0,3,0,0,0,7.775,2
806,807,0,1,0,0,0,0.0,2
807,808,0,3,1,0,0,7.775,2
808,809,0,2,0,0,0,13.0,2
809,810,1,1,1,1,0,53.1,2
810,811,0,3,0,0,0,7.8875,2
811,812,0,3,0,0,0,24.15,2
812,813,0,2,0,0,0,10.5,2
813,814,0,3,1,4,2,31.275,2
814,815,0,3,0,0,0,8.05,2
815,816,0,1,0,0,0,0.0,2
816,817,0,3,1,0,0,7.925,2
817,818,0,2,0,1,1,37.0042,0
818,819,0,3,0,0,0,6.45,2
819,820,0,3,0,3,2,27.9,2
820,821,1,1,1,1,1,93.5,2
821,822,1,3,0,0,0,8.6625,2
822,823,0,1,0,0,0,0.0,2
823,824,1,3,1,0,1,12.475,2
824,825,0,3,0,4,1,39.6875,2
825,826,0,3,0,0,0,6.95,1
826,827,0,3,0,0,0,56.4958,2
827,828,1,2,0,0,2,37.0042,0
828,829,1,3,0,0,0,7.75,1
830,831,1,3,1,1,0,14.4542,0
831,832,1,2,0,1,1,18.75,2
832,833,0,3,0,0,0,7.2292,0
833,834,0,3,0,0,0,7.8542,2
834,835,0,3,0,0,0,8.3,2
835,836,1,1,1,1,1,83.1583,0
836,837,0,3,0,0,0,8.6625,2
837,838,0,3,0,0,0,8.05,2
838,839,1,3,0,0,0,56.4958,2
839,840,1,1,0,0,0,29.7,0
840,841,0,3,0,0,0,7.925,2
841,842,0,2,0,0,0,10.5,2
842,843,1,1,1,0,0,31.0,0
843,844,0,3,0,0,0,6.4375,0
844,845,0,3,0,0,0,8.6625,2
845,846,0,3,0,0,0,7.55,2
846,847,0,3,0,8,2,69.55,2
847,848,0,3,0,0,0,7.8958,0
848,849,0,2,0,0,1,33.0,2
849,850,1,1,1,1,0,89.1042,0
850,851,0,3,0,4,2,31.275,2
851,852,0,3,0,0,0,7.775,2
852,853,0,3,1,1,1,15.2458,0
853,854,1,1,1,0,1,39.4,2
854,855,0,2,1,1,0,26.0,2
855,856,1,3,1,0,1,9.35,2
856,857,1,1,1,1,1,164.8667,2
857,858,1,1,0,0,0,26.55,2
858,859,1,3,1,0,3,19.2583,0
859,860,0,3,0,0,0,7.2292,0
860,861,0,3,0,2,0,14.1083,2
861,862,0,2,0,1,0,11.5,2
862,863,1,1,1,0,0,25.9292,2
863,864,0,3,1,8,2,69.55,2
864,865,0,2,0,0,0,13.0,2
865,866,1,2,1,0,0,13.0,2
866,867,1,2,1,1,0,13.8583,0
867,868,0,1,0,0,0,50.4958,2
868,869,0,3,0,0,0,9.5,2
869,870,1,3,0,1,1,11.1333,2
870,871,0,3,0,0,0,7.8958,2
871,872,1,1,1,1,1,52.5542,2
872,873,0,1,0,0,0,5.0,2
873,874,0,3,0,0,0,9.0,2
874,875,1,2,1,1,0,24.0,0
875,876,1,3,1,0,0,7.225,0
876,877,0,3,0,0,0,9.8458,2
877,878,0,3,0,0,0,7.8958,2
878,879,0,3,0,0,0,7.8958,2
879,880,1,1,1,0,1,83.1583,0
880,881,1,2,1,0,1,26.0,2
881,882,0,3,0,0,0,7.8958,2
882,883,0,3,1,0,0,10.5167,2
883,884,0,2,0,0,0,10.5,2
884,885,0,3,0,0,0,7.05,2
885,886,0,3,1,0,5,29.125,1
886,887,0,2,0,0,0,13.0,2
887,888,1,1,1,0,0,30.0,2
888,889,0,3,1,1,2,23.45,2
889,890,1,1,0,0,0,30.0,0
890,891,0,3,0,0,0,7.75,1
